Complexity,Loss,Equation
1,0.78731686,"-2.4293272"
3,0.6318343,"-16.580763 / x2"
4,0.63183427,"inv(x2 / -16.580763)"
5,0.5717563,"32.919502 / (x6 + x3)"
7,0.5298055,"33.219322 / ((x6 + x3) + x1)"
9,0.5041381,"(33.42319 / (x6 + x3)) + (x1 * -0.45788983)"
10,0.488763,"42.92844 / (x6 - square((2.790571 - x1) - x3))"
12,0.48674443,"39.62911 / (x6 + (1.3702841 - square((2.757325 - x1) - x3)))"
13,0.47635677,"(123.827705 / (x6 - ((x1 + (x3 - 5.6711826)) * -2.7064114))) - -2.1348226"
15,0.47239918,"(150.49397 / ((x6 + (1.9561526 * x3)) - ((x1 / -0.35396993) + 16.064856))) - -2.802733"
16,0.47239286,"(150.49397 / ((x6 + (1.9561526 * x3)) - ((x1 / inv(-2.802733)) + 16.064856))) - -2.802733"
17,0.4704425,"(150.55153 / ((x6 + ((x3 * x2) * 0.294439)) - ((x1 / -0.38863328) + 14.975176))) - -2.998152"
19,0.46191847,"(150.52924 / ((((x3 + x2) * 0.2744695) * x3) + (x6 - ((x1 / -0.3568978) + 15.282767)))) - -3.0254943"
20,0.4613564,"(150.53018 / (x6 + ((sqrt((x3 + x2) * 0.56328017) * x3) - ((x1 / -0.37035882) + 15.259366)))) - -3.0027676"
22,0.46132624,"(150.53018 / ((x6 + (sqrt((x3 + (x2 - -0.16088419)) * 0.56328017) * x3)) - ((x1 / -0.37035882) + 15.259366))) - -3.0027676"
24,0.46131998,"(150.53018 / ((x6 + ((x3 - -0.009652808) * sqrt(((x3 - -0.062176075) + x2) * 0.55100846))) - ((x1 / -0.37035882) + 15.259366))) - -3.0027676"
25,0.4598374,"(((x3 * 6.7952967) + 164.31526) / (x6 + ((x6 + (x2 * sqrt(abs(x3 + 1.3599852)))) - ((x1 * -4.1018453) + 17.297071)))) - -2.2922416"
27,0.4590975,"(((x3 * 6.6447654) + 144.17822) / (((x6 - (((x2 * x1) * -0.7213874) + 15.479199)) + (sqrt(abs(x3 + 0.6763007)) * x2)) + x6)) - -1.7602911"
